,student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,student_country_encoded,purchased
0,US,288,358.1,1,2,2,15.81,40,0
1,SG,260,1.7,1,1,0,16.0,35,0
2,TR,260,22.4,1,1,0,0.93,38,0
3,KE,259,18.8,1,1,1,14.63,17,0
4,IN,259,118.0,2,2,1,16.48,14,0
5,IN,252,143.8,1,3,3,11.57,14,0
6,LK,251,0.2,1,1,0,0.88,20,0
7,US,254,103.9,3,1,1,15.55,40,0
8,TR,249,16.1,2,1,0,10.0,38,0
9,BG,244,8.4,1,2,2,9.73,4,0
10,IT,5,252.4,3,4,4,12.6,15,0
11,US,12,366.7,5,1,0,3.27,40,1
12,ES,240,189.0,2,1,1,9.98,10,0
13,US,236,84.7,2,1,1,11.57,40,0
14,PH,235,94.5,2,2,1,12.28,28,0
15,BD,234,3.7,1,1,0,4.68,3,0
16,IT,233,24.9,1,2,2,12.69,15,0
17,US,237,29.8,2,1,1,8.93,40,0
18,CA,230,34.4,1,1,1,2.52,6,0
19,VN,229,19.9,1,1,1,7.45,41,0
20,PT,228,8.6,1,1,0,1.72,32,0
21,JP,228,61.8,2,1,1,6.98,16,0
22,ET,228,2.0,1,1,1,3.38,11,0
23,PS,239,1118.3,8,3,2,3.83,31,0
24,IN,221,2.2,1,1,0,2.38,14,0
25,TR,221,0.4,1,1,1,5.15,38,0
26,PK,220,4.5,1,1,0,2.2,29,0
27,AZ,243,20.4,2,1,1,13.07,2,0
28,NG,218,42.9,1,2,1,21.71,24,0
29,KW,4,112.6,1,4,4,12.22,18,1
30,US,216,360.2,4,2,2,2.42,40,0
31,ZA,211,14.3,1,1,1,16.0,42,0
32,FR,0,78.4,1,3,2,5.98,12,1
33,TR,207,246.1,2,4,2,6.23,38,0
34,KE,205,25.6,1,2,0,15.92,17,0
35,PK,204,5.5,3,2,2,10.99,29,0
36,AR,203,2.1,1,1,0,3.53,1,0
37,MK,206,72.9,3,1,0,16.0,23,0
38,TH,201,29.9,1,2,2,32.0,36,0
39,MA,201,10.0,1,1,1,4.0,21,0
40,AZ,11,190.8,4,7,6,29.02,2,0
41,TN,235,42.1,1,1,0,11.23,37,0
42,IN,46,429.2,5,1,1,5.22,14,0
43,EG,204,17.8,1,5,3,10.97,9,0
44,GB,12,114.0,3,1,1,11.65,13,0
45,OM,190,0.5,1,1,0,10.0,27,0
46,RU,189,43.2,1,1,1,5.43,33,0
47,NG,193,41.1,1,2,1,14.01,24,0
48,KE,210,23.0,1,3,2,9.79,17,0
49,ET,184,18.7,1,3,2,17.84,11,0
50,NG,37,125.5,2,2,2,6.05,24,0
51,AZ,181,0.7,1,1,0,7.65,2,0
52,SE,181,189.0,2,3,1,7.1,34,0
53,IN,180,117.0,1,1,0,4.97,14,0
54,PT,186,94.3,2,1,1,7.48,32,0
55,IN,180,173.9,3,1,1,14.3,14,0
56,DE,168,20.0,1,1,1,6.77,7,0
57,US,210,136.6,1,1,1,4.82,40,0
58,EG,164,87.1,1,2,1,10.8,9,0
59,AL,163,37.7,1,2,2,12.04,0,0
60,AZ,165,14.4,2,1,1,9.83,2,0
61,PH,173,545.4,5,2,2,16.73,28,0
62,PL,160,41.5,1,2,1,10.92,30,0
63,NG,164,57.4,2,2,1,5.8,24,0
64,US,157,31.9,1,1,1,4.98,40,0
65,NG,160,205.4,2,1,0,15.98,24,0
66,KE,156,67.3,1,2,2,16.68,17,0
67,MD,168,273.6,4,1,1,7.58,22,0
68,US,155,19.2,1,1,1,4.55,40,0
69,KE,152,35.9,1,1,1,6.9,17,0
70,TR,149,47.3,1,2,1,30.2,38,0
71,US,0,75.8,1,1,0,15.0,40,1
72,TH,2,114.1,1,2,2,3.96,36,1
73,IN,144,0.2,1,3,1,17.8,14,0
74,ES,16,143.8,3,5,4,30.03,10,0
75,CA,142,51.2,2,1,1,7.48,6,0
76,BR,169,12.8,2,1,0,10.0,5,0
77,EG,229,38.5,2,1,0,0.7,9,0
78,US,0,71.1,1,3,3,23.27,40,1
79,SG,4,138.9,3,1,1,12.25,35,1
80,US,139,33.1,2,2,1,6.62,40,0
81,IN,148,1193.4,7,5,3,20.34,14,0
82,GB,139,1248.9,5,1,1,6.92,13,0
83,EG,140,19.9,1,1,1,6.9,9,0
84,NP,139,36.6,1,3,2,20.72,26,0
85,US,137,21.2,1,1,0,16.0,40,0
86,TN,140,41.5,1,1,1,2.25,37,0
87,VN,139,146.8,2,2,1,0.94,41,0
88,PK,133,21.0,1,2,1,22.2,29,0
89,IN,134,72.8,2,1,0,1.25,14,0
90,DZ,132,43.6,1,2,2,10.93,8,0
91,CA,131,2.6,1,1,1,2.43,6,0
92,IN,133,10.3,1,1,0,10.0,14,0
93,EG,140,38.2,1,1,1,3.5,9,0
94,LB,134,51.9,1,1,1,4.27,19,0
95,IN,276,75.1,1,1,1,9.32,14,0
96,TW,128,29.6,1,2,1,7.3,39,0
97,TN,131,40.0,1,1,1,2.77,37,0
98,KE,129,19.4,1,1,1,16.0,17,0
99,NL,128,243.2,5,2,2,20.77,25,0
